trade_date,industry_count,avg_capital_flow_score,avg_flow_strength,avg_market_share,row_count
2026-04-22,375,0.1229,0.2312,0.0399,375
2026-04-23,375,0.0618,0.0313,0.0402,375
2026-04-24,305,0.068,0.0375,0.0466,305
2026-04-27,305,0.0635,0.0372,0.0467,305
2026-04-28,305,0.0642,0.0374,0.0474,305
2026-04-29,305,0.0645,0.0374,0.0475,305
2026-04-30,305,0.0645,0.0373,0.0472,305
2026-05-06,305,0.0671,0.0371,0.0466,305
2026-05-07,305,0.0649,0.0374,0.0469,305
2026-05-08,305,0.064,0.0377,0.0472,305
2026-05-11,305,0.0677,0.0372,0.0466,305
2026-05-12,305,0.061,0.0373,0.0466,305
2026-05-13,305,0.0648,0.0371,0.0464,305
2026-05-14,305,0.0652,0.037,0.0464,305
2026-05-15,305,0.0626,0.0368,0.0461,305
2026-05-18,305,0.1393,0.2367,0.0462,305
2026-05-19,305,0.1426,0.2367,0.0459,305
2026-05-20,305,0.1436,0.2364,0.0455,305
2026-05-21,305,0.1478,0.2362,0.0456,305
